Index,Kanji,Reading,Definition,Frequency,Dispersion,Core 6K Position,Jisho Link
955,そば,そば,"side, beside",66,0.86,1505,http://jisho.org/search/そば
956,減る,へる,"decrease, become less",66,0.98,979,http://jisho.org/search/減る
957,記事,きじ,article,66,0.85,2922,http://jisho.org/search/記事
958,本人,ほんにん,"person himself/herself, person in question",66,0.98,4070,http://jisho.org/search/本人
959,焼く,やく,"roast, bake",66,0.89,1659,http://jisho.org/search/焼く
960,たまに,たまに,"occasionally, once in a while",66,0.71,4810,http://jisho.org/search/たまに
961,慣れる,なれる,get used to,66,0.84,862,http://jisho.org/search/慣れる
962,もしくは,もしくは,"or, otherwise",66,0.72,N/A,http://jisho.org/search/もしくは
963,出会う,であう,"meet, come across",66,0.91,4182,http://jisho.org/search/出会う
964,推進,すいしん,propulsion,66,0.36,2981,http://jisho.org/search/推進
965,自ら,みずから,"personally, oneself, own",66,0.88,4806,http://jisho.org/search/自ら
966,作業,さぎょう,"operation, work",66,0.99,898,http://jisho.org/search/作業
967,私自身,わたしじしん,"myself, my own",66,0.77,N/A,http://jisho.org/search/私自身
968,たび,たび,every time,66,0.97,N/A,http://jisho.org/search/たび
969,付き合う,つきあう,"associate with, go out with, go along with",65,0.76,5297,http://jisho.org/search/付き合う
970,半分,はんぶん,half,65,0.95,558,http://jisho.org/search/半分
971,条件,じょうけん,condition,65,0.95,1354,http://jisho.org/search/条件
972,医者,いしゃ,doctor,65,0.82,1189,http://jisho.org/search/医者
973,振る,ふる,"wave, shake, swing",65,0.88,1444,http://jisho.org/search/振る
974,関心,かんしん,interest,65,0.94,2927,http://jisho.org/search/関心
975,表示,ひょうじ,indication,65,0.9,N/A,http://jisho.org/search/表示
976,秋,あき,"autumn, fall",65,0.93,197,http://jisho.org/search/秋
977,明るい,あかるい,"bright, light; cheerful",65,0.94,521,http://jisho.org/search/明るい
978,趣味,しゅみ,hobby,65,0.83,1512,http://jisho.org/search/趣味
979,生徒,せいと,"student, pupil",65,0.96,832,http://jisho.org/search/生徒
980,相当,そうとう,considerable,65,0.85,5004,http://jisho.org/search/相当
981,従う,したがう,"obey, follow",65,0.71,2996,http://jisho.org/search/従う
982,検討,けんとう,"consideration, discussion examination",65,0.61,1538,http://jisho.org/search/検討
983,占める,しめる,"occupy, account for",65,0.46,1607,http://jisho.org/search/占める
984,まさに,まさに,exactly,64,0.95,N/A,http://jisho.org/search/まさに
985,選手,せんしゅ,"player, athlete",64,0.84,1312,http://jisho.org/search/選手
986,以下,いか,"below, the following",64,0.61,2663,http://jisho.org/search/以下
987,大きさ,おおきさ,size,64,1,431,http://jisho.org/search/大きさ
988,調査,ちょうさ,investigation,64,0.63,1277,http://jisho.org/search/調査
989,分,ぶん,"part, share, portion",64,0.97,412,http://jisho.org/search/分
990,実家,じっか,one’s parents’ home,64,0.72,N/A,http://jisho.org/search/実家
991,発表,はっぴょう,"announcement, publication",64,0.94,1049,http://jisho.org/search/発表
992,むしろ,むしろ,"rather, if anything",64,0.93,4036,http://jisho.org/search/むしろ
993,作成,さくせい,"make, create",64,0.78,N/A,http://jisho.org/search/作成
994,名,な,name,64,0.82,4379,http://jisho.org/search/名
995,確保,かくほ,"securement, reservation",64,0.66,2803,http://jisho.org/search/確保
996,まるで,まるで,"just like, quite",64,0.83,4175,http://jisho.org/search/まるで
997,運ぶ,はこぶ,"carry, transport, move",64,0.94,1006,http://jisho.org/search/運ぶ
998,こともある,こともある,"sometimes, can be",64,0.85,N/A,http://jisho.org/search/こともある
999,"てはいけない, ちゃいけない","てはいけない,ちゃいけない","must not, should not",64,0.91,N/A,"http://jisho.org/search/てはいけない, ちゃいけない"
1000,正しい,ただしい,"right, accurate, proper",64,0.97,1266,http://jisho.org/search/正しい
1001,ほぼ,ほぼ,"about, nearly, almost",64,0.95,495,http://jisho.org/search/ほぼ
1002,表わす,あらわす,"show, express, symbolize",64,0.88,N/A,http://jisho.org/search/表わす
1003,毎年,まいとし,"every year, annually",63,0.97,489,http://jisho.org/search/毎年
1004,文字,もじ,"letter, character, writing",63,0.92,592,http://jisho.org/search/文字
1005,空,そら,"sky, air",63,0.9,2054,http://jisho.org/search/空
1006,に対し,にたいし,toward; against; in contrast to,63,0.57,N/A,http://jisho.org/search/に対し
1007,明日,あす,tomorrow,63,0.49,4105,http://jisho.org/search/明日
1008,役割,やくわり,"part, role",63,0.8,4562,http://jisho.org/search/役割
1009,地球,ちきゅう,"earth, globe",63,0.95,1437,http://jisho.org/search/地球
1010,公園,こうえん,park,63,0.9,1241,http://jisho.org/search/公園
1011,個人,こじん,individual,63,0.99,878,http://jisho.org/search/個人
1012,やら,やら,"and, or",63,0.85,N/A,http://jisho.org/search/やら
1013,消える,きえる,go off; disappear,63,0.89,713,http://jisho.org/search/消える
1014,激しい,はげしい,"fierce, intense, severe",63,0.95,1744,http://jisho.org/search/激しい
1015,短い,みじかい,short,63,0.99,177,http://jisho.org/search/短い
1016,薬,くすり,medicine,63,0.88,1063,http://jisho.org/search/薬
1017,試合,しあい,"match, game, bout",63,0.84,2396,http://jisho.org/search/試合
1018,成長,せいちょう,growth,63,1,2859,http://jisho.org/search/成長
1019,おなか,おなか,"stomach, belly",62,0.79,299,http://jisho.org/search/おなか
1020,機能,きのう,"function, capability, feature",62,0.92,1221,http://jisho.org/search/機能
1021,ボール,ぼーる,ball,62,0.89,885,http://jisho.org/search/ボール
1022,少年,しょうねん,"boy, juvenile",62,0.93,434,http://jisho.org/search/少年
1023,方向,ほうこう,"direction, course",62,0.89,533,http://jisho.org/search/方向
1024,遅い,おそい,late; slow,62,0.91,264,http://jisho.org/search/遅い
1025,資料,しりょう,"document, material, data",62,0.5,2880,http://jisho.org/search/資料
1026,タイプ,たいぷ,type,62,0.92,4093,http://jisho.org/search/タイプ
1027,扱う,あつかう,"deal with, handle, treat",62,0.97,3472,http://jisho.org/search/扱う
1028,指摘,してき,designation,62,0.66,3129,http://jisho.org/search/指摘
1029,ヨーロッパ,よーろっぱ,Europe,62,0.93,N/A,http://jisho.org/search/ヨーロッパ
1030,除く,のぞく,remove; except; get rid of,62,0.71,1559,http://jisho.org/search/除く
1031,それら,それら,"those, these, they",62,0.89,N/A,http://jisho.org/search/それら
1032,ご存じ,ごぞんじ,"know, knowing (honorific)",62,0.89,2792,http://jisho.org/search/ご存じ
1033,意外,いがい,"unexpected, surprising",61,0.88,2799,http://jisho.org/search/意外
1034,一週間,いっしゅうかん,one week,61,0.79,N/A,http://jisho.org/search/一週間
1035,何回,なんかい,how many times,61,0.83,N/A,http://jisho.org/search/何回
1036,政府,せいふ,government,61,0.69,1306,http://jisho.org/search/政府
1037,分ける,わける,"divide, distribute; classify",61,0.98,413,http://jisho.org/search/分ける
1038,計画,けいかく,"project, schedule, plan",61,0.87,1068,http://jisho.org/search/計画
1039,段階,だんかい,"grade, stage, step",61,0.88,726,http://jisho.org/search/段階
1040,量,りょう,"quantity, volume, amount",61,1,4409,http://jisho.org/search/量
1041,田舎,いなか,countryside; one’s hometown,61,0.67,3940,http://jisho.org/search/田舎
1042,感動,かんどう,deep emotion,61,0.85,3032,http://jisho.org/search/感動
1043,スポーツ,すぽーつ,sports,61,0.9,550,http://jisho.org/search/スポーツ
1044,感覚,かんかく,"sense; sensation, feeling",61,0.94,3031,http://jisho.org/search/感覚
1045,地元,じもと,"home area, local area",61,0.96,N/A,http://jisho.org/search/地元
1046,勝手,かって,"on one’s own, at one’s convenience",60,0.87,2417,http://jisho.org/search/勝手
1047,さすが,さすが,"as might be expected, as one would expect",60,0.85,N/A,http://jisho.org/search/さすが
1048,寂しい,さびしい,"lonely, lonesome",60,0.78,1887,http://jisho.org/search/寂しい
1049,再び,ふたたび,"again, once more",60,0.9,1703,http://jisho.org/search/再び
1050,利く,きく,"act, work",60,0.9,2441,http://jisho.org/search/利く
1051,勤める,つとめる,"be employed, work for",60,0.91,1336,http://jisho.org/search/勤める
1052,吸う,すう,"breathe in, sip, smoke",60,0.81,1686,http://jisho.org/search/吸う
1053,流す,ながす,flush; pour; drain,60,0.96,5148,http://jisho.org/search/流す
1054,希望,きぼう,"hope, wish, request",60,0.94,3359,http://jisho.org/search/希望
1055,急,きゅう,"urgent, sudden; steep; sharp",60,0.92,942,http://jisho.org/search/急
1056,勧める,すすめる,"encourage, recommend",60,0.91,3823,http://jisho.org/search/勧める
1057,年齢,ねんれい,"age, years",60,0.96,5442,http://jisho.org/search/年齢
1058,フランス,ふらんす,France,60,0.96,N/A,http://jisho.org/search/フランス
1059,仕方,しかた,"way, method",59,0.97,609,http://jisho.org/search/仕方
1060,なし,なし,"without, no",59,0.98,N/A,http://jisho.org/search/なし
1061,さて,さて,"well, now",59,0.84,N/A,http://jisho.org/search/さて
1062,疲れる,つかれる,get tired,59,0.81,1202,http://jisho.org/search/疲れる
1063,落とす,おとす,"drop, lose, turn down",59,0.93,1404,http://jisho.org/search/落とす
1064,人気,にんき,popularity,59,0.85,512,http://jisho.org/search/人気
1065,弱い,よわい,"weak, faint, light",59,0.97,240,http://jisho.org/search/弱い
1066,まとめる,まとめる,"summarize, settle, gather",59,0.97,515,http://jisho.org/search/まとめる
1067,格好,かっこう,"appearance, shape, look",59,0.88,2245,http://jisho.org/search/格好
1068,渡る,わたる,"cross, go across",59,0.96,642,http://jisho.org/search/渡る
1069,患者,かんじゃ,"patient, case",59,0.86,1638,http://jisho.org/search/患者
1070,壁,かべ,"wall, barrier",59,0.89,1759,http://jisho.org/search/壁
1071,道路,どうろ,"road, way, street",59,0.95,631,http://jisho.org/search/道路
1072,参る,まいる,"go, come, visit (humble); be in trouble, be embarrassed",59,0.52,5065,http://jisho.org/search/参る
1073,反対,はんたい,"opposition, contrast, objection",59,0.98,1168,http://jisho.org/search/反対
1074,他人,たにん,"others, unrelated person, stranger",59,0.94,4227,http://jisho.org/search/他人
1075,提供,ていきょう,offer,59,0.79,1278,http://jisho.org/search/提供
1076,空気,くうき,"air, atmosphere",59,0.97,509,http://jisho.org/search/空気
1077,去年,きょねん,last year,58,0.86,270,http://jisho.org/search/去年
1078,肩,かた,shoulder,58,0.86,387,http://jisho.org/search/肩
1079,知れる,しれる,"come out, come to light, be discovered",58,0.75,2282,http://jisho.org/search/知れる
1080,匂い,におい,"smell, odor, scent",58,0.89,1827,http://jisho.org/search/匂い
1081,銀行,ぎんこう,bank,58,0.99,681,http://jisho.org/search/銀行
1082,実現,じつげん,"realization, implementation",58,0.86,1031,http://jisho.org/search/実現
1083,ありがとう,ありがとう,thank you,58,0.86,N/A,http://jisho.org/search/ありがとう
1084,購入,こうにゅう,buying,58,0.81,3558,http://jisho.org/search/購入
1085,十年,じゅうねん,"ten years, decade",58,0.96,N/A,http://jisho.org/search/十年
1086,右,みぎ,right,58,0.92,83,http://jisho.org/search/右
1087,全体,ぜんたい,"total, whole, entire",58,0.81,658,http://jisho.org/search/全体
1088,話題,わだい,"topic, subject",58,0.93,4491,http://jisho.org/search/話題
1089,認識,にんしき,"recognition, awareness",58,0.85,4966,http://jisho.org/search/認識
1090,安心,あんしん,"peace of mind, relief",58,0.97,758,http://jisho.org/search/安心
1091,雪,ゆき,snow,58,0.95,514,http://jisho.org/search/雪
1092,ポイント,ぽいんと,point,58,0.89,N/A,http://jisho.org/search/ポイント
1093,十,じゅう,ten,58,0.94,22,http://jisho.org/search/十
1094,仲間,なかま,"company, fellow, mate, group",57,0.95,5426,http://jisho.org/search/仲間
1095,かつ,かつ,"besides, also, as well",57,0.68,N/A,http://jisho.org/search/かつ
1096,知識,ちしき,"knowledge, information",57,0.99,4965,http://jisho.org/search/知識
1097,多少,たしょう,more or less; somewhat; a little,57,0.93,4046,http://jisho.org/search/多少
1098,緑,みどり,green; greenery,57,0.94,345,http://jisho.org/search/緑
1099,解決,かいけつ,"solution, settlement",57,0.93,763,http://jisho.org/search/解決
1100,狭い,せまい,"narrow, small",57,0.96,381,http://jisho.org/search/狭い
1101,一時間,いちじかん,one hour,57,0.9,N/A,http://jisho.org/search/一時間
1102,失敗,しっぱい,"failure, mistake",57,0.96,2872,http://jisho.org/search/失敗
1103,いきなり,いきなり,"suddenly, without notice",57,0.89,2322,http://jisho.org/search/いきなり
1104,成功,せいこう,"success, achievement",57,0.95,1258,http://jisho.org/search/成功
1105,マンション,まんしょん,"apartment, condominium, flat",57,0.87,595,http://jisho.org/search/マンション
1106,協力,きょうりょく,"cooperation, collaboration",57,0.77,467,http://jisho.org/search/協力
1107,伯父,おじ,uncle,57,0.83,N/A,http://jisho.org/search/伯父
1108,時々,ときどき,"sometimes, once in a while, on occasion",57,0.92,30,http://jisho.org/search/時々
1109,"産む, 生む",うむ,give birth; produce,57,0.97,N/A,"http://jisho.org/search/産む, 生む"
1110,卒業,そつぎょう,graduation,57,0.87,1347,http://jisho.org/search/卒業
1111,降る,ふる,"fall, come down",57,0.91,986,http://jisho.org/search/降る
1112,野菜,やさい,vegetable,57,0.95,689,http://jisho.org/search/野菜
1113,自分自身,じぶんじしん,oneself,56,0.84,N/A,http://jisho.org/search/自分自身
1114,報告,ほうこく,"report, information, account",56,0.83,752,http://jisho.org/search/報告
1115,落ち着く,おちつく,"settle, calm down",56,0.95,3092,http://jisho.org/search/落ち着く
1116,決定,けってい,"decision, determination",56,0.81,959,http://jisho.org/search/決定
1117,割合,わりあい,comparatively,56,0.53,4563,http://jisho.org/search/割合
1118,移動,いどう,movement,56,0.99,2565,http://jisho.org/search/移動
1119,いまだ,いまだ,"still, yet, so far",56,0.95,N/A,http://jisho.org/search/いまだ
1120,血,ち,blood,56,0.86,1691,http://jisho.org/search/血
1121,応ずる、応じる,"おうずる,おうじる","answer, respond, accept",56,0.73,N/A,http://jisho.org/search/応ずる、応じる
1122,涙,なみだ,tear,56,0.88,1632,http://jisho.org/search/涙
1123,表情,ひょうじょう,"expression, facial expression, look",56,0.79,4681,http://jisho.org/search/表情
1124,ああ,ああ,like that,56,0.71,2911,http://jisho.org/search/ああ
1125,逃げる,にげる,"run away, escape",56,0.9,1389,http://jisho.org/search/逃げる
1126,次第,しだい,depend on; as soon as,56,0.87,2689,http://jisho.org/search/次第
1127,楽,らく,"comfort, ease, comfortable",56,0.88,4691,http://jisho.org/search/楽
1128,やがて,やがて,"soon, before long, after all",56,0.78,4150,http://jisho.org/search/やがて
1129,"ではありません, じゃありません","ではありません,じゃありません","not, no",55,0.97,N/A,"http://jisho.org/search/ではありません, じゃありません"
1130,かつて,かつて,"once, before, ever, former",55,0.9,545,http://jisho.org/search/かつて
1131,ごみ,ごみ,"rubbish, garbage, trash",55,0.84,1405,http://jisho.org/search/ごみ
1132,警察,けいさつ,police,55,0.96,1383,http://jisho.org/search/警察
1133,兄,あに,elder brother,55,0.85,300,http://jisho.org/search/兄
1134,くれる,くれる,give,55,0.84,129,http://jisho.org/search/くれる
1135,代わり,かわり,"substitute, replacement, alternative",55,0.94,2517,http://jisho.org/search/代わり
1136,外国,がいこく,foreign country,55,0.91,667,http://jisho.org/search/外国
1137,細かい,こまかい,"small, fine; trivial; sensitive",55,0.98,1532,http://jisho.org/search/細かい
1138,静か,しずか,"quiet, silent",55,0.91,1509,http://jisho.org/search/静か
1139,腰,こし,"back, lower back, waist, hip",55,0.85,372,http://jisho.org/search/腰
1140,開催,かいさい,"holding, opening",55,0.66,1722,http://jisho.org/search/開催
1141,瞬間,しゅんかん,"moment, instant, second",55,0.91,3776,http://jisho.org/search/瞬間
1142,近付く,ちかづく,"approach, get closer to",55,0.92,1547,http://jisho.org/search/近付く
1143,わずか,わずか,"a few, a little, a bit",55,0.92,4156,http://jisho.org/search/わずか
1144,暗い,くらい,dark; depressed,55,0.9,523,http://jisho.org/search/暗い
1145,届く,とどく,"reach, arrive",55,0.83,814,http://jisho.org/search/届く
1146,窓,まど,window,55,0.88,1124,http://jisho.org/search/窓
1147,ストレス,すとれす,stress,55,0.87,2413,http://jisho.org/search/ストレス
1148,伸ばす,のばす,"extend, lengthen; postpone",54,0.96,5372,http://jisho.org/search/伸ばす
1149,ドア,どあ,door,54,0.8,249,http://jisho.org/search/ドア
1150,森,もり,"forest, woods, grove",54,0.9,498,http://jisho.org/search/森
1151,目標,もくひょう,"goal, objective, target",54,0.96,4989,http://jisho.org/search/目標
1152,本来,ほんらい,"originally, essentially, by nature, proper",54,0.99,4069,http://jisho.org/search/本来
1153,重い,おもい,"heavy, important",54,0.97,221,http://jisho.org/search/重い
1154,変更,へんこう,"change, modification, revision",54,0.86,4624,http://jisho.org/search/変更
1155,感謝,かんしゃ,"gratitude, appreciation",54,0.94,3347,http://jisho.org/search/感謝
1156,腕,うで,"arm; skill, ability",54,0.84,390,http://jisho.org/search/腕
1157,手術,しゅじゅつ,"surgery, operation",54,0.84,907,http://jisho.org/search/手術
1158,当たり前,あたりまえ,"natural, usual, common, ordinary",54,0.93,2424,http://jisho.org/search/当たり前
1159,時点,じてん,"point in time, as of",54,0.97,N/A,http://jisho.org/search/時点
1160,一日,ついたち,first (date),54,0.63,40,http://jisho.org/search/一日
1161,馬鹿,ばか,foolish,54,0.84,1979,http://jisho.org/search/馬鹿
1162,忙しい,いそがしい,"busy, occupied",54,0.87,1201,http://jisho.org/search/忙しい
1163,おく,おく,at; in; on,54,0.44,N/A,http://jisho.org/search/おく
1164,愛する,あいする,"love, care",54,0.89,365,http://jisho.org/search/愛する
1165,"それでは, それじゃ","それでは,それじゃ","then, well, so",54,0.92,N/A,"http://jisho.org/search/それでは, それじゃ"
1166,遠い,とおい,"far, distant",53,0.94,175,http://jisho.org/search/遠い
1167,苦労,くろう,"hardship, difficulty, trouble",53,0.91,3319,http://jisho.org/search/苦労
1168,押さえる,おさえる,"press down, hold",53,0.95,857,http://jisho.org/search/押さえる
1169,課題,かだい,"subject; assignment, task",53,0.79,1144,http://jisho.org/search/課題
1170,とともに,とともに,"together with, with",53,0.33,N/A,http://jisho.org/search/とともに
1171,見つかる,みつかる,"be found, be discovered",53,0.92,152,http://jisho.org/search/見つかる
1172,うそ,うそ,"lie, falsehood",53,0.89,N/A,http://jisho.org/search/うそ
1173,仰る,おっしゃる,"say, tell, speak (honorific)",53,0.66,N/A,http://jisho.org/search/仰る
1174,主張,しゅちょう,"argument, claim",53,0.9,1754,http://jisho.org/search/主張
1175,施設,しせつ,"facility, institution, plant",53,0.79,1234,http://jisho.org/search/施設
1176,チェック,ちぇっく,check,53,0.93,N/A,http://jisho.org/search/チェック
1177,一ヶ月,いっかげつ,one month,53,0.82,N/A,http://jisho.org/search/一ヶ月
1178,ものの,ものの,"but, although, despite",53,0.82,N/A,http://jisho.org/search/ものの
1179,展開,てんかい,development,53,0.92,5555,http://jisho.org/search/展開
1180,事業,じぎょう,"business, enterprise, project",53,0.61,2439,http://jisho.org/search/事業
1181,データ,でーた,data,52,0.94,4005,http://jisho.org/search/データ
1182,役,やく,"part, role, duty",52,0.94,4436,http://jisho.org/search/役
1183,伸びる,のびる,"grow, stretch, extend",52,1,1586,http://jisho.org/search/伸びる
1184,通常,つうじょう,"normally, ordinary, regular",52,0.99,1271,http://jisho.org/search/通常
1185,ピアノ,ぴあの,piano,52,0.77,810,http://jisho.org/search/ピアノ
1186,行為,こうい,action; motion; behavior,52,0.86,3420,http://jisho.org/search/行為
1187,悩む,なやむ,"be worried, be troubled, suffer",52,0.86,5033,http://jisho.org/search/悩む
1188,第二,だいに,"second, secondary; another",52,0.47,N/A,http://jisho.org/search/第二
1189,議論,ぎろん,"argument, discussion, controversy",52,0.66,2735,http://jisho.org/search/議論
1190,記録,きろく,"record, document",52,0.96,1292,http://jisho.org/search/記録
1191,当てる,あてる,"hit, put, expose, guess",52,0.97,2423,http://jisho.org/search/当てる
1192,出来事,できごと,"event, affair, happening",52,0.9,4195,http://jisho.org/search/出来事
1193,温かい,あたたかい,"warm, genial",52,0.92,N/A,http://jisho.org/search/温かい
1194,おかげ,おかげ,"thanks, virtue",52,0.9,N/A,http://jisho.org/search/おかげ
1195,安全,あんぜん,safe,52,0.86,661,http://jisho.org/search/安全
1196,眺める,ながめる,"see, view, gaze",52,0.88,5802,http://jisho.org/search/眺める
1197,いかに,いかに,"how, in what way",52,0.95,2098,http://jisho.org/search/いかに
1198,設置,せっち,installation,52,0.69,3189,http://jisho.org/search/設置
1199,極めて,きわめて,"very, extremely",52,0.71,3201,http://jisho.org/search/極めて
1200,入院,にゅういん,"hospitalization, admission to hospital",52,0.88,1187,http://jisho.org/search/入院
1201,積極的,せっきょくてき,"active, positive, aggressive",52,0.71,3253,http://jisho.org/search/積極的
1202,事故,じこ,"accident, incident, trouble",52,0.97,614,http://jisho.org/search/事故
1203,たたく,たたく,"slap, hit, knock, clap",52,0.9,N/A,http://jisho.org/search/たたく
1204,としても,としても,"assuming, even if",52,0.94,N/A,http://jisho.org/search/としても
1205,会話,かいわ,conversation,51,0.9,601,http://jisho.org/search/会話
1206,方々,かたがた,people,51,0.86,4052,http://jisho.org/search/方々
1207,要る,いる,"need, want",51,0.95,248,http://jisho.org/search/要る
1208,鳥,とり,bird; poultry,51,0.88,1731,http://jisho.org/search/鳥
1209,何とか,なんとか,somehow,51,0.8,4019,http://jisho.org/search/何とか
1210,市,し,"city, town",51,0.59,2302,http://jisho.org/search/市
1211,眠る,ねむる,sleep,51,0.87,1866,http://jisho.org/search/眠る
1212,自信,じしん,confidence,51,0.95,2711,http://jisho.org/search/自信
1213,固い,かたい,"hard, solid, stiff",51,0.94,1716,http://jisho.org/search/固い
1214,戦後,せんご,"postwar, after the war",51,0.94,3079,http://jisho.org/search/戦後
1215,値段,ねだん,"price, value, cost",51,0.87,729,http://jisho.org/search/値段
1216,通じる,つうじる,"lead; communicate, understand",51,0.92,4210,http://jisho.org/search/通じる
1217,動かす,うごかす,"move, shift, operate",51,0.96,1018,http://jisho.org/search/動かす
1218,トイレ,といれ,"toilet, restroom, bathroom",51,0.87,790,http://jisho.org/search/トイレ
1219,あんな,あんな,"such, like that",51,0.86,N/A,http://jisho.org/search/あんな
1220,避ける,さける,"avoid, keep away from",51,0.97,3606,http://jisho.org/search/避ける
1221,お勧め,おすすめ,"recommendation, advice",51,0.67,N/A,http://jisho.org/search/お勧め
1222,野球,やきゅう,baseball,51,0.77,1438,http://jisho.org/search/野球
1223,穴,あな,"hole, pit",51,0.92,1886,http://jisho.org/search/穴
1224,クリック,くりっく,click,51,0.54,N/A,http://jisho.org/search/クリック
1225,捕らえる,とらえる,"catch, grasp, seize, arrest",51,0.9,N/A,http://jisho.org/search/捕らえる
1226,昨年,さくねん,last year,50,0.8,524,http://jisho.org/search/昨年
1227,減少,げんしょう,"decrease, reduction",50,0.49,2535,http://jisho.org/search/減少
1228,洗う,あらう,wash,50,0.92,1411,http://jisho.org/search/洗う
1229,左,ひだり,left,50,0.87,84,http://jisho.org/search/左
1230,珍しい,めずらしい,"rare, unusual, unique",50,0.91,1701,http://jisho.org/search/珍しい
1231,尋ねる,たずねる,"ask, look for",50,0.83,1903,http://jisho.org/search/尋ねる
1232,一言,ひとこと,"one word, single word, brief comment",50,0.98,4170,http://jisho.org/search/一言
1233,男の子,おとこのこ,"boy, male child",50,0.88,502,http://jisho.org/search/男の子
1234,制度,せいど,"system, institution",50,0.76,852,http://jisho.org/search/制度
1235,買い物,かいもの,shopping,50,0.86,794,http://jisho.org/search/買い物
1236,チーム,ちーむ,team,50,0.86,4087,http://jisho.org/search/チーム
1237,登場,とうじょう,"entry, appearance",50,0.82,5010,http://jisho.org/search/登場
1238,期間,きかん,"period, term, interval",50,0.89,936,http://jisho.org/search/期間
1239,金額,きんがく,amount of money,50,0.85,2451,http://jisho.org/search/金額
1240,塩,しお,salt,50,0.94,1573,http://jisho.org/search/塩
1241,奥,おく,"inner part, back; bottom",50,0.88,1614,http://jisho.org/search/奥
1242,九,きゅう,nine,50,0.88,402,http://jisho.org/search/九
1243,まだまだ,まだまだ,"still, still more",49,0.92,N/A,http://jisho.org/search/まだまだ
1244,習う,ならう,"take lessons, be taught, learn",49,0.69,861,http://jisho.org/search/習う
1245,番組,ばんぐみ,"show, program",49,0.88,1322,http://jisho.org/search/番組
1246,一時,いちじ,"at one time, temporary, for a while",49,0.54,2000,http://jisho.org/search/一時
1247,ケース,けーす,case,49,0.97,2007,http://jisho.org/search/ケース
1248,傾向,けいこう,"tendency, trend, inclination",49,0.86,1749,http://jisho.org/search/傾向
1249,日々,ひび,"every day, daily",49,0.94,4008,http://jisho.org/search/日々
1250,拡大,かくだい,"enlargement, expansion",49,0.71,1329,http://jisho.org/search/拡大
1251,レベル,れべる,level,49,0.98,4030,http://jisho.org/search/レベル
1252,よろしく,よろしく,"well, properly, best regards",49,0.56,1720,http://jisho.org/search/よろしく
1253,疑問,ぎもん,"question, problem, doubt",49,0.99,3408,http://jisho.org/search/疑問
1254,それなり,それなり,"in itself, as it is, in its way",49,0.9,N/A,http://jisho.org/search/それなり
1255,現状,げんじょう,"present condition, existing state",49,0.86,2934,http://jisho.org/search/現状
1256,ドイツ,どいつ,Germany,49,0.96,N/A,http://jisho.org/search/ドイツ
1257,取り上げる,とりあげる,"pick up, adopt; take away",48,0.95,4415,http://jisho.org/search/取り上げる
1258,主に,おもに,"mainly, for the most part, chiefly",48,0.98,2719,http://jisho.org/search/主に
1259,伯母,おば,aunt,48,0.84,N/A,http://jisho.org/search/伯母
1260,パン,ぱん,bread,48,0.86,845,http://jisho.org/search/パン
1261,クラス,くらす,class,48,0.86,2081,http://jisho.org/search/クラス
1262,肉,にく,"meat, flesh, fat",48,0.91,686,http://jisho.org/search/肉
1263,なるべく,なるべく,"as  .  .  .  as possible, if possible",48,0.91,4345,http://jisho.org/search/なるべく
1264,指,ゆび,finger,48,0.88,958,http://jisho.org/search/指
1265,態度,たいど,"attitude, manner, behavior",48,0.95,5020,http://jisho.org/search/態度
1266,地,ち,"earth, ground, land, place",48,0.9,4218,http://jisho.org/search/地
1267,全国,ぜんこく,"nationwide, whole country, national",48,0.82,666,http://jisho.org/search/全国
1268,答え,こたえ,"answer, solution",48,0.98,1169,http://jisho.org/search/答え
1269,世話,せわ,care,48,0.93,2188,http://jisho.org/search/世話
1270,差,さ,"difference, gap, margin",48,0.98,2458,http://jisho.org/search/差
1271,一切,いっさい,"all, entirely, not  .  .  .  at all",48,0.98,2507,http://jisho.org/search/一切
1272,食う,くう,"eat, consume",48,0.88,2122,http://jisho.org/search/食う
1273,文章,ぶんしょう,"sentence; writing, text",48,0.97,1934,http://jisho.org/search/文章
1274,背景,はいけい,"background, context, setting",48,0.88,1693,http://jisho.org/search/背景
1275,負担,ふたん,"burden, load, charge",48,0.87,4515,http://jisho.org/search/負担
1276,事情,じじょう,"circumstance, situation, reason",48,0.95,749,http://jisho.org/search/事情
1277,メンバー,めんばー,"member, participant",48,0.94,4131,http://jisho.org/search/メンバー
1278,ようやく,ようやく,"at last, gradually, barely",48,0.92,N/A,http://jisho.org/search/ようやく
1279,地方,ちほう,"area, district, countryside",48,0.92,4222,http://jisho.org/search/地方
1280,豊か,ゆたか,"abundant, plentiful, rich",48,0.93,5342,http://jisho.org/search/豊か
1281,助ける,たすける,"help, rescue, save",48,0.94,1381,http://jisho.org/search/助ける
1282,詰まる,つまる,"be blocked, be packed, be clogged",47,0.91,5663,http://jisho.org/search/詰まる
1283,一個,いっこ,"one, piece",47,0.93,N/A,http://jisho.org/search/一個
1284,大阪,おおさか,Osaka,47,0.98,N/A,http://jisho.org/search/大阪
1285,果たす,はたす,"carry out, achieve, fulfil",47,0.84,4800,http://jisho.org/search/果たす
1286,支える,ささえる,"support, hold, sustain",47,0.94,2476,http://jisho.org/search/支える
1287,抱える,かかえる,"hold, carry, employ",47,0.97,3754,http://jisho.org/search/抱える
1288,大分,"だいぶ,だいぶん","very, a lot, much",47,0.74,432,http://jisho.org/search/大分
