Index,Kanji,Reading,Definition,Frequency,Dispersion,Core 6K Position,Jisho Link
76,やる,やる,do; make; give,"1,644",0.88,420,http://jisho.org/search/やる
77,中,なか,"inside, in; into","1,534",0.97,4042,http://jisho.org/search/中
78,いる,いる,"be, exist; stay","1,499",0.89,N/A,http://jisho.org/search/いる
79,できる,できる,be ready,"1,490",0.96,N/A,http://jisho.org/search/できる
80,など,など,"and so on, etc.","1,471",0.91,N/A,http://jisho.org/search/など
81,として,として,as,"1,453",0.95,N/A,http://jisho.org/search/として
82,後,あと,"after, later","1,448",0.84,553,http://jisho.org/search/後
83,また,また,"additionally, moreover","1,433",0.95,N/A,http://jisho.org/search/また
84,ちょっと,ちょっと,"(just) a little, a bit","1,352",0.66,1880,http://jisho.org/search/ちょっと
85,てくる,てくる,go and  .  .  .,"1,351",0.98,N/A,http://jisho.org/search/てくる
86,だけ,だけ,"only, alone, merely","1,329",0.98,N/A,http://jisho.org/search/だけ
87,"くらい, ぐらい","くらい,ぐらい","about, around","1,318",0.79,N/A,"http://jisho.org/search/くらい, ぐらい"
88,ではない,ではない,it is not the case that  .  .  .,"1,304",0.96,N/A,http://jisho.org/search/ではない
89,えーと,えーと,"well, let me see","1,303",0.01,N/A,http://jisho.org/search/えーと
90,方,ほう,"direction, way; side","1,301",0.95,454,http://jisho.org/search/方
91,"ていく, てく","ていく,てく",go and  .  .  .,"1,245",0.92,N/A,"http://jisho.org/search/ていく, てく"
92,訳,わけ,"reason, cause","1,215",0.82,5286,http://jisho.org/search/訳
93,へ,へ,DESTINATION,"1,196",0.95,N/A,http://jisho.org/search/へ
94,どう,どう,"how, what","1,173",0.96,89,http://jisho.org/search/どう
95,し,し,"and, besides","1,167",0.88,N/A,http://jisho.org/search/し
96,本当,ほんとう,"truth, right","1,125",0.73,883,http://jisho.org/search/本当
97,持つ,もつ,"have, take, hold","1,106",0.97,817,http://jisho.org/search/持つ
98,出る,でる,"go out, come out; attend","1,093",0.95,92,http://jisho.org/search/出る
99,ため,ため,for,"1,084",0.93,399,http://jisho.org/search/ため
100,すごい,すごい,"fantastic, wonderful; terrible","1,082",0.45,N/A,http://jisho.org/search/すごい
