Index,Author Name,Romanized Name,Year,Title,Work Link,Kanji Count,Total Characters,Characters Per Sentence
45,薄田 泣菫,Kyukin Susukida,1916,茶話,http://www.aozora.gr.jp/cards/000150/files/46615_50730.html,2518,246791,37
46,吉川 英治,Eiji Yoshikawa,1939,新書太閤記,http://www.aozora.gr.jp/cards/001562/files/56760_58810.html,2516,227124,31
47,吉川 英治,Eiji Yoshikawa,1939,新書太閤記,http://www.aozora.gr.jp/cards/001562/files/56759_58732.html,2502,230822,34
48,吉川 英治,Eiji Yoshikawa,1989,三国志,http://www.aozora.gr.jp/cards/001562/files/52417_51068.html,2493,213797,31
49,高木 敏雄,Toshio Takagi,1904,比較神話学,http://www.aozora.gr.jp/cards/001191/files/55276_59543.html,2491,166824,48
50,吉川 英治,Eiji Yoshikawa,1989,三国志,http://www.aozora.gr.jp/cards/001562/files/52416_51488.html,2491,189121,29
51,吉川 英治,Eiji Yoshikawa,1989,三国志,http://www.aozora.gr.jp/cards/001562/files/52419_51070.html,2489,224766,32
52,牧野 富太郎,Tomitaro Makino,1953,植物一日一題,http://www.aozora.gr.jp/cards/001266/files/46820_29303.html,2479,145640,56
53,吉川 英治,Eiji Yoshikawa,1939,新書太閤記,http://www.aozora.gr.jp/cards/001562/files/56754_55009.html,2477,229901,29
54,南方 熊楠,Kumagusu Minakata,1920,十二支考,http://www.aozora.gr.jp/cards/000093/files/2539_34823.html,2473,82104,67
55,薄田 泣菫,Kyukin Susukida,1917,茶話,http://www.aozora.gr.jp/cards/000150/files/46616_53817.html,2469,250357,34
56,牧野 富太郎,Tomitaro Makino,1943,植物記,http://www.aozora.gr.jp/cards/001266/files/51368_56013.html,2463,156599,48
57,吉川 英治,Eiji Yoshikawa,1939,新書太閤記,http://www.aozora.gr.jp/cards/001562/files/56755_55013.html,2456,227998,29
58,泉 鏡花,Kyoka Izumi,1907,婦系図,http://www.aozora.gr.jp/cards/000050/files/1087_34456.html,2453,266107,33
59,吉川 英治,Eiji Yoshikawa,1989,三国志,http://www.aozora.gr.jp/cards/001562/files/52411_51062.html,2441,191911,30
60,吉川 英治,Eiji Yoshikawa,1989,三国志,http://www.aozora.gr.jp/cards/001562/files/52412_51063.html,2438,183268,29
61,鳥谷部 春汀,Shuntei Toyabe,1909,明治人物月旦（抄）,http://www.aozora.gr.jp/cards/001161/files/43624_29542.html,2438,176942,93
62,夢野 久作,Kyusaku Yumeno,1933,暗黒公使,http://www.aozora.gr.jp/cards/000096/files/2100_49058.html,2437,210320,41
63,吉川 英治,Eiji Yoshikawa,1990,随筆　宮本武蔵,http://www.aozora.gr.jp/cards/001562/files/52434_49777.html,2434,147062,52
64,吉川 英治,Eiji Yoshikawa,1989,三国志,http://www.aozora.gr.jp/cards/001562/files/52415_51066.html,2431,192772,31
65,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4342_14330.html,2431,229014,54
66,ユゴー ヴィクトル,Victor Hugo,1987,レ・ミゼラブル,http://www.aozora.gr.jp/cards/001094/files/42603_26041.html,2430,302722,33
67,鳥谷部 春汀,Shuntei Toyabe,1909,明治人物月旦（抄）,http://www.aozora.gr.jp/cards/001161/files/48122_29544.html,2428,141588,93
68,南方 熊楠,Kumagusu Minakata,1921,十二支考,http://www.aozora.gr.jp/cards/000093/files/2540_35098.html,2426,74902,59
69,吉川 英治,Eiji Yoshikawa,1942,折々の記,http://www.aozora.gr.jp/cards/001562/files/55316_51583.html,2422,103782,47
70,柳田 国男,Kunio Yanagita,1924,木綿以前の事,http://www.aozora.gr.jp/cards/001566/files/53104_50767.html,2421,213032,56
71,徳田 秋声,Shusei Tokuda,1969,仮装人物,http://www.aozora.gr.jp/cards/000023/files/1699_46893.html,2413,219039,44
72,平野 万里,Banri Hirano,1949,晶子鑑賞,http://www.aozora.gr.jp/cards/000294/files/1858_15766.html,2410,127831,40
73,吉川 英治,Eiji Yoshikawa,1939,新書太閤記,http://www.aozora.gr.jp/cards/001562/files/56633_55005.html,2408,233390,30
74,吉川 英治,Eiji Yoshikawa,1989,三国志,http://www.aozora.gr.jp/cards/001562/files/52413_51064.html,2407,183726,30
75,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4321_14286.html,2401,212067,53
76,三上 於菟吉,Otokichi Mikami,1934,雪之丞変化,http://www.aozora.gr.jp/cards/000310/files/1911_50609.html,2400,352403,41
77,菊池 寛,Kan Kikuchi,1920,真珠夫人,http://www.aozora.gr.jp/cards/000083/files/13217_18030.html,2395,273321,31
78,ユゴー ヴィクトル,Victor Hugo,1987,レ・ミゼラブル,http://www.aozora.gr.jp/cards/001094/files/42604_26198.html,2393,263273,32
79,福沢 諭吉,Yukichi Fukuzawa,1898,福翁自伝,http://www.aozora.gr.jp/cards/000296/files/1864_61590.html,2393,439238,69
80,吉川 英治,Eiji Yoshikawa,1989,宮本武蔵,http://www.aozora.gr.jp/cards/001562/files/52398_49785.html,2390,216623,34
81,薄田 泣菫,Kyukin Susukida,1918,茶話,http://www.aozora.gr.jp/cards/000150/files/46617_53827.html,2387,216192,34
82,菊池 寛,Kan Kikuchi,1920,真珠夫人,http://www.aozora.gr.jp/cards/000083/files/4822_53600.html,2386,379841,31
83,吉川 英治,Eiji Yoshikawa,1990,宮本武蔵,http://www.aozora.gr.jp/cards/001562/files/52402_49793.html,2385,234865,30
84,徳田 秋声,Shusei Tokuda,1969,縮図,http://www.aozora.gr.jp/cards/000023/files/1698_46840.html,2378,164574,53
85,穂積 陳重,Nobushige Hozumi,1926,法窓夜話,http://www.aozora.gr.jp/cards/000301/files/1872_53638.html,2377,131131,68
86,吉川 英治,Eiji Yoshikawa,1939,新書太閤記,http://www.aozora.gr.jp/cards/001562/files/56568_55001.html,2374,217900,29
87,吉川 英治,Eiji Yoshikawa,1989,三国志,http://www.aozora.gr.jp/cards/001562/files/52410_51061.html,2373,180674,30
88,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4512_15691.html,2372,162139,64
89,吉川 英治,Eiji Yoshikawa,1948,大岡越前,http://www.aozora.gr.jp/cards/001562/files/56072_51783.html,2369,222473,30
90,宮本 百合子,Yuriko Miyamoto,1979,獄中への手紙,http://www.aozora.gr.jp/cards/000311/files/33188_16391.html,2369,268243,34
91,柴田 宵曲,Shokyoku Shibata,1943,古句を観る,http://www.aozora.gr.jp/cards/001832/files/57179_60631.html,2368,172544,39
92,吉川 英治,Eiji Yoshikawa,1943,黒田如水,http://www.aozora.gr.jp/cards/001562/files/53195_50708.html,2367,201036,34
93,宮本 百合子,Yuriko Miyamoto,1924,伸子,http://www.aozora.gr.jp/cards/000311/files/2015_42509.html,2363,183685,29
94,島崎 藤村,Toson Shimazaki,1918,新生,http://www.aozora.gr.jp/cards/000158/files/843_14595.html,2363,387172,40
95,南方 熊楠,Kumagusu Minakata,1916,十二支考,http://www.aozora.gr.jp/cards/000093/files/1916_29070.html,2351,85004,121
96,ゴーゴリ ニコライ,Nikolai Gogol,1939,死せる魂,http://www.aozora.gr.jp/cards/000207/files/42217_60008.html,2346,120355,49
97,南方 熊楠,Kumagusu Minakata,1914,十二支考,http://www.aozora.gr.jp/cards/000093/files/526_28258.html,2344,71843,111
98,島崎 藤村,Toson Shimazaki,1936,夜明け前,http://www.aozora.gr.jp/cards/000158/files/1507_14593.html,2344,230217,48
99,吉川 英治,Eiji Yoshikawa,1939,新書太閤記,http://www.aozora.gr.jp/cards/001562/files/56761_58895.html,2339,198930,33
100,島崎 藤村,Toson Shimazaki,1906,破戒,http://www.aozora.gr.jp/cards/000158/files/1502_24633.html,2337,287454,32
101,ユゴー ヴィクトル,Victor Hugo,1987,レ・ミゼラブル,http://www.aozora.gr.jp/cards/001094/files/42601_25759.html,2337,237174,33
102,夏目 漱石,Soseki Natsume,1916,明暗,http://www.aozora.gr.jp/cards/000148/files/782_14969.html,2332,401778,31
103,徳富 蘇峰,Soho Tokutomi,1886,将来の日本,http://www.aozora.gr.jp/cards/001369/files/49622_54223.html,2331,113375,46
104,吉川 英治,Eiji Yoshikawa,1942,上杉謙信,http://www.aozora.gr.jp/cards/001562/files/56461_53172.html,2324,148761,33
105,坂口 安吾,Ango Sakaguchi,1938,吹雪物語,http://www.aozora.gr.jp/cards/001095/files/43001_51771.html,2322,194718,29
106,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4323_14289.html,2315,182059,64
107,ユゴー ヴィクトル,Victor Hugo,1987,レ・ミゼラブル,http://www.aozora.gr.jp/cards/001094/files/42600_25758.html,2314,260434,30
108,木下 尚江,Naoe Kinoshita,1904,火の柱,http://www.aozora.gr.jp/cards/000525/files/3507_16278.html,2312,212458,102
