Index,Author Name,Romanized Name,Year,Title,Work Link,Kanji Count,Total Characters,Characters Per Sentence
200,横光 利一,Riichi Yokomitsu,1935,上海,http://www.aozora.gr.jp/cards/000168/files/50899_42798.html,2108,127507,31
201,泉 鏡花,Kyoka Izumi,1914,日本橋,http://www.aozora.gr.jp/cards/000050/files/4565_57474.html,2107,141419,28
202,宮本 百合子,Yuriko Miyamoto,1980,獄中への手紙,http://www.aozora.gr.jp/cards/000311/files/33190_16608.html,2106,167364,35
203,井上 円了,Enryo Inoue,2003,南半球五万哩,http://www.aozora.gr.jp/cards/001021/files/50119_44765.html,2099,127544,30
204,幸田 露伴,Rohan Koda,1978,蒲生氏郷,http://www.aozora.gr.jp/cards/000051/files/2709_23559.html,2096,80951,58
205,ロラン ロマン,Romain Rolland,1986,ジャン・クリストフ,http://www.aozora.gr.jp/cards/001093/files/42594_29601.html,2093,163253,33
206,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52426_49701.html,2092,119035,29
207,村井 弦斎,Gensai Murai,1903,食道楽,http://www.aozora.gr.jp/cards/000810/files/49947_40166.html,2090,203876,43
208,ロラン ロマン,Romain Rolland,1986,ジャン・クリストフ,http://www.aozora.gr.jp/cards/001093/files/42598_29605.html,2089,153867,29
209,谷崎 潤一郎,Jun'ichiro Tanizaki,1924,痴人の愛,http://www.aozora.gr.jp/cards/001383/files/58093_62049.html,2086,187168,44
210,和辻 哲郎,Tetsuro Watsuji,1961,古寺巡礼,http://www.aozora.gr.jp/cards/001395/files/49891_41902.html,2082,123770,41
211,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52432_49713.html,2081,143308,30
212,谷崎 潤一郎,Jun'ichiro Tanizaki,1943,細雪,http://www.aozora.gr.jp/cards/001383/files/56698_59488.html,2078,154137,80
213,ファーブル ジャン・アンリ,Jean Henri Fabre,1923,科学の不思議,http://www.aozora.gr.jp/cards/001049/files/4920_40113.html,2078,164770,30
214,柳 宗悦,Muneyoshi Yanagi,1920,民芸四十年,http://www.aozora.gr.jp/cards/001520/files/54958_53049.html,2076,149451,30
215,岸田 国士,Kunio Kishida,1939,泉,http://www.aozora.gr.jp/cards/001154/files/43807_48364.html,2073,146565,29
216,太宰 治,Osamu Dazai,1990,津軽,http://www.aozora.gr.jp/cards/000035/files/2282_15074.html,2069,80459,36
217,岸田 国士,Kunio Kishida,1944,荒天吉日,http://www.aozora.gr.jp/cards/001154/files/44090_49150.html,2066,135438,35
218,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4322_14288.html,2063,134677,58
219,岡本 綺堂,Kido Okamoto,1912,飛騨の怪談,http://www.aozora.gr.jp/cards/000082/files/49682_51215.html,2061,228649,28
220,泉 鏡花,Kyoka Izumi,1940,薄紅梅,http://www.aozora.gr.jp/cards/000050/files/3663_33334.html,2059,91083,32
221,野村 胡堂,Kodo Nomura,1941,楽聖物語,http://www.aozora.gr.jp/cards/001670/files/55088_55377.html,2056,201024,55
222,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4506_8286.html,2056,140613,44
223,三遊亭 円朝,Encho San'yutei,1926,真景累ヶ淵,http://www.aozora.gr.jp/cards/000989/files/350_33176.html,2053,336419,74
224,宮本 百合子,Yuriko Miyamoto,1947,二つの庭,http://www.aozora.gr.jp/cards/000311/files/2011_6885.html,2050,141691,37
225,三遊亭 円朝,Encho San'yutei,1927,粟田口霑笛竹（澤紫ゆかりの咲分）,http://www.aozora.gr.jp/cards/000989/files/52244_41278.html,2046,265132,77
226,福田 英子,Hideko Fukuda,1904,妾の半生涯,http://www.aozora.gr.jp/cards/000057/files/43276_18829.html,2046,122117,97
227,夢野 久作,Kyusaku Yumeno,1934,梅津只円翁伝,http://www.aozora.gr.jp/cards/000096/files/2142_23060.html,2041,59287,41
228,吉川 英治,Eiji Yoshikawa,1989,鳴門秘帖,http://www.aozora.gr.jp/cards/001562/files/52406_50143.html,2040,164764,34
229,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52425_49699.html,2034,122640,28
230,泉 鏡花,Kyoka Izumi,1941,黒百合,http://www.aozora.gr.jp/cards/000050/files/4635_18082.html,2032,129486,39
231,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52427_49703.html,2030,122058,28
232,久生 十蘭,Juran Hisao,1970,だいこん,http://www.aozora.gr.jp/cards/001224/files/46105_48093.html,2030,120427,37
233,幸田 露伴,Rohan Koda,1891,五重塔,http://www.aozora.gr.jp/cards/000051/files/43289_16904.html,2028,78652,375
234,ダンテ アリギエリ,Alighieri Dante,1953,神曲,http://www.aozora.gr.jp/cards/000961/files/42184_16641.html,2023,188116,28
235,内田 魯庵,Roan Uchida,1909,二葉亭四迷の一生,http://www.aozora.gr.jp/cards/000165/files/49573_43499.html,2023,65118,68
236,幸田 露伴,Rohan Koda,1978,連環記,http://www.aozora.gr.jp/cards/000051/files/3556_10336.html,2022,69213,61
237,土井 八枝,Yae Doi,1940,随筆　藪柑子,http://www.aozora.gr.jp/cards/001198/files/45338_60822.html,2022,72725,57
238,関口 存男,Tsugio Sekiguchi,1935,新独逸語文法教程解説,http://www.aozora.gr.jp/cards/001402/files/49940_57497.html,2022,162489,32
239,富田 倫生,Michio Tomita,1985,パソコン創世記,http://www.aozora.gr.jp/cards/000055/files/365_51267.html,2021,400286,57
240,徳田 秋声,Shusei Tokuda,1911,黴,http://www.aozora.gr.jp/cards/000023/files/1702_62367.html,2019,124067,33
241,島崎 藤村,Toson Shimazaki,1967,桃の雫,http://www.aozora.gr.jp/cards/000158/files/4854_31470.html,2018,73724,51
242,野村 胡堂,Kodo Nomura,1959,胡堂百話,http://www.aozora.gr.jp/cards/001670/files/55089_53206.html,2015,102941,35
243,有島 武郎,Takeo Arishima,1922,星座,http://www.aozora.gr.jp/cards/000025/files/216_20490.html,2014,107543,35
244,夏目 漱石,Soseki Natsume,1907,野分,http://www.aozora.gr.jp/cards/000148/files/791_14959.html,2012,126181,25
245,柳田 国男,Kunio Yanagita,1977,年中行事覚書,http://www.aozora.gr.jp/cards/001566/files/53812_50600.html,2008,141067,61
246,チェーホフ アントン,Anton Chekhov,1960,決闘,http://www.aozora.gr.jp/cards/001155/files/45763_39851.html,2008,83659,34
247,海野 十三,Juza Unno,1936,深夜の市長,http://www.aozora.gr.jp/cards/000160/files/1219_41193.html,2007,87451,32
248,スティーブンソン ロバート・ルイス,Robert Louis Stevenson,1935,宝島,http://www.aozora.gr.jp/cards/000888/files/33206_35955.html,2003,172348,32
249,横光 利一,Riichi Yokomitsu,1946,夜の靴,http://www.aozora.gr.jp/cards/000168/files/3511_11037.html,2003,80182,33
250,太宰 治,Osamu Dazai,1990,右大臣実朝,http://www.aozora.gr.jp/cards/000035/files/2255_15060.html,2002,80795,112
251,泉 鏡花,Kyoka Izumi,1906,式部小路,http://www.aozora.gr.jp/cards/000050/files/48405_47842.html,2000,114814,35
252,海野 十三,Juza Unno,1932,空襲葬送曲,http://www.aozora.gr.jp/cards/000160/files/1240_25726.html,1999,121039,34
253,島崎 藤村,Toson Shimazaki,1955,千曲川のスケッチ,http://www.aozora.gr.jp/cards/000158/files/1503_14594.html,1999,99574,33
254,ダンテ アリギエリ,Alighieri Dante,1958,神曲,http://www.aozora.gr.jp/cards/000961/files/4820_20588.html,1999,238685,27
255,阿部 次郎,Jiro Abe,1950,三太郎の日記　第一,http://www.aozora.gr.jp/cards/001421/files/50422_44480.html,1997,71648,38
256,ラヴクラフト ハワード・フィリップス,Howard Phillips Lovecraft,,チャールズ・デクスター・ウォードの事件,http://www.aozora.gr.jp/cards/001699/files/57254_57741.html,1997,96254,49
257,有島 武郎,Takeo Arishima,1919,或る女,http://www.aozora.gr.jp/cards/000025/files/202_20066.html,1993,212160,38
258,石川 啄木,Takuboku Ishikawa,1908,鳥影,http://www.aozora.gr.jp/cards/000153/files/4695_25761.html,1992,129772,24
259,石川 啄木,Takuboku Ishikawa,1908,鳥影,http://www.aozora.gr.jp/cards/000153/files/46947_33291.html,1992,129772,24
260,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4338_14275.html,1991,127425,47
261,永井 荷風,Kafu Nagai,1981,日和下駄,http://www.aozora.gr.jp/cards/001341/files/49658_37661.html,1989,95337,56
262,夢野 久作,Kyusaku Yumeno,1925,東京人の堕落時代,http://www.aozora.gr.jp/cards/000096/files/939_21954.html,1987,112043,33
263,岡本 かの子,Kanoko Okamoto,1937,母子叙情,http://www.aozora.gr.jp/cards/000076/files/1282_47203.html,1986,80889,41
264,正岡 容,Iruru Masaoka,1943,小説　円朝,http://www.aozora.gr.jp/cards/001313/files/47601_34115.html,1984,108063,37
265,岸田 国士,Kunio Kishida,1938,従軍五十日,http://www.aozora.gr.jp/cards/001154/files/44618_38001.html,1982,55793,40
266,海野 十三,Juza Unno,1971,海野十三敗戦日記,http://www.aozora.gr.jp/cards/000160/files/1255_6571.html,1981,60480,31
267,谷崎 潤一郎,Jun'ichiro Tanizaki,1949,少将滋幹の母,http://www.aozora.gr.jp/cards/001383/files/56847_58242.html,1979,99612,75
268,吉川 英治,Eiji Yoshikawa,1989,鳴門秘帖,http://www.aozora.gr.jp/cards/001562/files/52404_50141.html,1977,167869,33
269,稗田 阿礼,are hieda,1956,古事記,http://www.aozora.gr.jp/cards/001518/files/51731_50813.html,1974,227950,28
270,泉 鏡花,Kyoka Izumi,1941,草迷宮,http://www.aozora.gr.jp/cards/000050/files/3586_12103.html,1970,128730,37
271,相馬 愛蔵,Aizo Soma,1952,私の小売商道,http://www.aozora.gr.jp/cards/001147/files/43527_17334.html,1969,121198,56
272,林 不忘,Fubo Hayashi,1934,丹下左膳,http://www.aozora.gr.jp/cards/000290/files/1800_9299.html,1968,191821,32
273,菊池 寛,Kan Kikuchi,1995,二千六百年史抄,http://www.aozora.gr.jp/cards/000083/files/46289_49775.html,1968,59766,53
274,ロラン ロマン,Romain Rolland,1986,ジャン・クリストフ,http://www.aozora.gr.jp/cards/001093/files/42599_29606.html,1968,140224,30
275,太宰 治,Osamu Dazai,1975,惜別,http://www.aozora.gr.jp/cards/000035/files/2277_15069.html,1961,84255,45
276,宮本 百合子,Yuriko Miyamoto,1981,獄中への手紙,http://www.aozora.gr.jp/cards/000311/files/33194_18161.html,1959,86675,38
277,吉川 英治,Eiji Yoshikawa,1930,かんかん虫は唄う,http://www.aozora.gr.jp/cards/001562/files/56155_61815.html,1956,99913,32
278,村井 弦斎,Gensai Murai,1903,食道楽,http://www.aozora.gr.jp/cards/000810/files/50686_42916.html,1956,210041,50
279,泉 鏡太郎,Kyotaro Izumi,1909,神鑿,http://www.aozora.gr.jp/cards/000050/files/43467_27909.html,1955,374246,31
280,二葉亭 四迷,Shimei Futabatei,1984,平凡,http://www.aozora.gr.jp/cards/000006/files/3310_8291.html,1953,138134,40
281,谷崎 潤一郎,Jun'ichiro Tanizaki,1961,瘋癲老人日記,http://www.aozora.gr.jp/cards/001383/files/56771_60234.html,1950,81282,33
282,薄田 泣菫,Kyukin Susukida,1919,茶話,http://www.aozora.gr.jp/cards/000150/files/46618_54450.html,1949,111140,32
283,島崎 藤村,Toson Shimazaki,1955,家,http://www.aozora.gr.jp/cards/000158/files/1510_40740.html,1948,170583,28
284,相馬 黒光,Kokko Soma,1938,一商人として,http://www.aozora.gr.jp/cards/001147/files/43526_20998.html,1947,86643,62
285,シェリー メアリー・ウォルストンクラフト,Mary Wollstonecraft Shelley,1953,フランケンシュタイン,http://www.aozora.gr.jp/cards/001176/files/44904_35865.html,1946,134215,48
286,島崎 藤村,Toson Shimazaki,1955,家,http://www.aozora.gr.jp/cards/000158/files/1509_40739.html,1946,157511,30
287,桑原 隲蔵,Jitsuzo Kuwabara,1928,支那の孝道殊に法律上より観たる支那の孝道,http://www.aozora.gr.jp/cards/000372/files/44907_40354.html,1944,72488,40
288,柳 宗悦,Muneyoshi Yanagi,1981,手仕事の日本,http://www.aozora.gr.jp/cards/001520/files/51820_50713.html,1943,146859,33
289,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4510_14291.html,1943,94826,60
290,吉川 英治,Eiji Yoshikawa,1989,宮本武蔵,http://www.aozora.gr.jp/cards/001562/files/52396_49781.html,1943,112852,29
291,林 不忘,Fubo Hayashi,1968,魔像,http://www.aozora.gr.jp/cards/000290/files/45670_32794.html,1941,164111,34
292,シェークスピア ウィリアム,William Shakespeare,1933,ロミオとヂュリエット,http://www.aozora.gr.jp/cards/000264/files/42773_39853.html,1940,329450,24
293,ロラン ロマン,Romain Rolland,1986,ジャン・クリストフ,http://www.aozora.gr.jp/cards/001093/files/42596_29603.html,1938,134722,34
294,戸坂 潤,Jun Tosaka,1937,世界の一環としての日本,http://www.aozora.gr.jp/cards/000281/files/3601_50794.html,1938,154461,54
295,小熊 秀雄,Hideo Oguma,1990,小熊秀雄全集-15,http://www.aozora.gr.jp/cards/000124/files/2417_21854.html,1936,67096,56
296,幸田 露伴,Rohan Koda,1891,五重塔,http://www.aozora.gr.jp/cards/000051/files/50351_36759.html,1936,95041,388
297,風巻 景次郎,Keijiro Kazamaki,1947,中世の文学伝統,http://www.aozora.gr.jp/cards/001479/files/50931_41896.html,1935,115783,53
298,織田 作之助,Sakunosuke Oda,1976,青春の逆説,http://www.aozora.gr.jp/cards/000040/files/732_19841.html,1934,118587,31
299,岡本 綺堂,Kido Okamoto,1992,玉藻の前,http://www.aozora.gr.jp/cards/000082/files/480_39601.html,1933,128896,34
300,薄田 泣菫,Kyukin Susukida,1934,独楽園,http://www.aozora.gr.jp/cards/000150/files/52090_44478.html,1930,61799,45
301,夏目 漱石,Soseki Natsume,1914,こころ,http://www.aozora.gr.jp/cards/000148/files/773_14560.html,1930,206077,32
302,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52431_49711.html,1928,106033,30
303,海野 十三,Juza Unno,1937,蠅男,http://www.aozora.gr.jp/cards/000160/files/1254_18628.html,1927,107251,30
304,小穴 隆一,Ryuichi Oana,1932,二つの絵,http://www.aozora.gr.jp/cards/001908/files/58142_62062.html,1925,84200,57
305,村井 弦斎,Gensai Murai,1903,食道楽,http://www.aozora.gr.jp/cards/000810/files/52355_50975.html,1924,226913,47
306,柳 宗悦,Muneyoshi Yanagi,2005,工芸の道,http://www.aozora.gr.jp/cards/001520/files/54957_54058.html,1923,152701,28
307,下村 湖人,Kojin Shimomura,1938,論語物語,http://www.aozora.gr.jp/cards/001097/files/42923_58753.html,1921,112351,29
308,浅野 和三郎,Wasaburo Asano,1937,小桜姫物語,http://www.aozora.gr.jp/cards/001034/files/4823_48720.html,1920,606292,45
309,谷崎 潤一郎,Jun'ichiro Tanizaki,1935,聞書抄,http://www.aozora.gr.jp/cards/001383/files/56945_58757.html,1920,82183,96
310,中 勘助,Kansuke Naka,1913,銀の匙,http://www.aozora.gr.jp/cards/001799/files/56638_61335.html,1919,77259,48
311,菊池 寛,Kan Kikuchi,1994,貞操問答,http://www.aozora.gr.jp/cards/000083/files/43270_27856.html,1911,179999,30
312,高浜 虚子,Kyoshi Takahama,1908,俳諧師,http://www.aozora.gr.jp/cards/001310/files/51275_58740.html,1911,67393,33
313,若山 牧水,Bokusui Wakayama,1924,みなかみ紀行,http://www.aozora.gr.jp/cards/000162/files/56933_62144.html,1910,75702,40
314,国枝 史郎,Shiro Kunieda,1939,血曼陀羅紙帳武士,http://www.aozora.gr.jp/cards/000255/files/45211_20560.html,1910,89561,34
315,三遊亭 円朝,Encho San'yutei,1927,霧陰伊香保湯煙,http://www.aozora.gr.jp/cards/000989/files/4298_35446.html,1908,170973,56
316,横光 利一,Riichi Yokomitsu,1982,欧洲紀行,http://www.aozora.gr.jp/cards/000168/files/56934_57608.html,1908,73261,31
317,国枝 史郎,Shiro Kunieda,1930,十二神貝十郎手柄話,http://www.aozora.gr.jp/cards/000255/files/43621_18508.html,1907,68598,29
318,外村 繁,Shigeru Tonomura,1960,澪標,http://www.aozora.gr.jp/cards/001499/files/51277_51584.html,1906,58472,24
319,夏目 漱石,Soseki Natsume,1908,坑夫,http://www.aozora.gr.jp/cards/000148/files/774_14943.html,1904,182774,32
320,折口 信夫,Shinobu Orikuchi,1941,橘曙覧評伝,http://www.aozora.gr.jp/cards/000933/files/47550_51134.html,1900,73332,38
321,夏目 漱石,Soseki Natsume,1909,満韓ところどころ,http://www.aozora.gr.jp/cards/000148/files/781_14965.html,1897,103764,37
322,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4319_14282.html,1897,104210,48
323,徳田 秋声,Shusei Tokuda,1910,足迹,http://www.aozora.gr.jp/cards/000023/files/1701_9313.html,1896,145625,34
324,江戸川 乱歩,Ranpo Edogawa,1937,悪魔の紋章,http://www.aozora.gr.jp/cards/001779/files/57240_60918.html,1893,130575,34
325,宮本 百合子,Yuriko Miyamoto,,播州平野,http://www.aozora.gr.jp/cards/000311/files/2013_6881.html,1892,78387,35
326,夢野 久作,Kyusaku Yumeno,1936,少女地獄,http://www.aozora.gr.jp/cards/000096/files/935_23282.html,1892,93368,40
327,石川 欣一,Kinichi Ishikawa,1929,可愛い山,http://www.aozora.gr.jp/cards/001380/files/49593_37655.html,1890,76169,37
328,三遊亭 円朝,Encho San'yutei,1927,業平文治漂流奇談,http://www.aozora.gr.jp/cards/000989/files/351.html,1890,116368,80
329,石川 欣一,Kinichi Ishikawa,1987,可愛い山,http://www.aozora.gr.jp/cards/001380/files/57354_58071.html,1890,76169,37
330,岡本 かの子,Kanoko Okamoto,1939,河明り,http://www.aozora.gr.jp/cards/000076/files/1284_14476.html,1890,58843,42
331,ディケンズ チャールズ,Charles Dickens,1929,クリスマス・カロル,http://www.aozora.gr.jp/cards/000914/files/4328_8144.html,1888,68218,35
332,岡本 綺堂,Kido Okamoto,1988,青蛙堂鬼談,http://www.aozora.gr.jp/cards/000082/files/1307_20001.html,1885,101782,44
333,北原 白秋,Hakushu Kitahara,1911,思ひ出,http://www.aozora.gr.jp/cards/000106/files/2415_45802.html,1884,93094,27
334,岸田 国士,Kunio Kishida,1937,北支物情,http://www.aozora.gr.jp/cards/001154/files/44465_37233.html,1884,52562,32
335,柴田 流星,Ryusei Shibata,1911,残されたる江戸,http://www.aozora.gr.jp/cards/000342/files/2391_18586.html,1881,35465,79
336,江戸川 乱歩,Ranpo Edogawa,1954,探偵小説の「謎」,http://www.aozora.gr.jp/cards/001779/files/57502_62061.html,1881,101232,50
337,田畑 修一郎,Shuichiro Tabata,1941,医師高間房一氏,http://www.aozora.gr.jp/cards/000273/files/3510_18421.html,1880,106211,39
338,有島 武郎,Takeo Arishima,1911,或る女,http://www.aozora.gr.jp/cards/000025/files/201_20052.html,1879,155305,43
339,ラヴクラフト ハワード・フィリップス,Howard Phillips Lovecraft,,狂気の山脈にて,http://www.aozora.gr.jp/cards/001699/files/57858_59672.html,1877,85568,59
340,夏目 漱石,Soseki Natsume,1910,思い出す事など,http://www.aozora.gr.jp/cards/000148/files/792_14937.html,1876,88573,43
341,戸坂 潤,Jun Tosaka,1966,思想と風俗,http://www.aozora.gr.jp/cards/000281/files/1710.html,1875,150885,57
342,戸坂 潤,Jun Tosaka,1936,現代日本の思想対立,http://www.aozora.gr.jp/cards/000281/files/3606_45590.html,1874,89659,60
343,北原 白秋,Hakushu Kitahara,1939,夢殿,http://www.aozora.gr.jp/cards/000106/files/52958_54985.html,1872,89927,29
344,夢野 久作,Kyusaku Yumeno,1924,街頭から見た新東京の裏面,http://www.aozora.gr.jp/cards/000096/files/940_21952.html,1872,79613,42
345,与謝野 晶子,Akiko Yosano,1980,晶子詩篇全集拾遺,http://www.aozora.gr.jp/cards/000885/files/2558_15785.html,1871,75304,11
346,葉山 嘉樹,Yoshiki Hayama,1933,海に生くる人々,http://www.aozora.gr.jp/cards/000031/files/863_22418.html,1871,141965,36
347,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/4511_14292.html,1871,86244,66
348,古川 緑波,Roppa Furukawa,2007,古川ロッパ昭和日記,http://www.aozora.gr.jp/cards/001558/files/52688_54755.html,1870,116232,27
349,正岡 容,Iruru Masaoka,1942,寄席,http://www.aozora.gr.jp/cards/001313/files/47599_58902.html,1865,93799,31
350,田中 英光,Hidemitsu Tanaka,1940,オリンポスの果実,http://www.aozora.gr.jp/cards/000126/files/669_43608.html,1864,119695,55
351,泉 鏡花,Kyoka Izumi,1900,三枚続,http://www.aozora.gr.jp/cards/000050/files/48400_47272.html,1861,106656,48
352,小栗 虫太郎,Mushitaro Oguri,1935,潜航艇「鷹の城」,http://www.aozora.gr.jp/cards/000125/files/43656_26294.html,1856,68448,46
353,永井 荷風,Kafu Nagai,1951,濹東綺譚,http://www.aozora.gr.jp/cards/001341/files/52016_42178.html,1855,69374,38
354,高山 樗牛,Chogyu Takayama,1894,滝口入道,http://www.aozora.gr.jp/cards/000271/files/1556_45797.html,1854,103660,61
355,三遊亭 円朝,Encho San'yutei,1927,塩原多助一代記,http://www.aozora.gr.jp/cards/000989/files/43874_42200.html,1850,204937,80
356,賀川 豊彦,Toyohiko Kagawa,1989,空中征服,http://www.aozora.gr.jp/cards/001468/files/51160_41938.html,1850,88740,29
357,下村 湖人,Kojin Shimomura,1965,現代訳論語,http://www.aozora.gr.jp/cards/001097/files/43785_58836.html,1850,155127,29
358,国枝 史郎,Shiro Kunieda,1976,神秘昆虫館,http://www.aozora.gr.jp/cards/000255/files/3042_31636.html,1850,93279,24
359,豊島 与志雄,Yoshio Toyoshima,1921,反抗,http://www.aozora.gr.jp/cards/000906/files/42411_32974.html,1845,109067,24
360,宮本 百合子,Yuriko Miyamoto,1924,古き小画,http://www.aozora.gr.jp/cards/000311/files/1952.html,1843,48633,35
361,原 勝郎,Katsuro Hara,1917,東山時代における一縉紳の生活,http://www.aozora.gr.jp/cards/001037/files/4995_17362.html,1840,53021,61
362,阿部 次郎,Jiro Abe,1950,三太郎の日記　第三,http://www.aozora.gr.jp/cards/001421/files/50423_47066.html,1839,79901,43
363,柳田 国男,Kunio Yanagita,1928,野草雑記・野鳥雑記,http://www.aozora.gr.jp/cards/001566/files/52946_50716.html,1837,88762,56
364,阿部 次郎,Jiro Abe,1950,三太郎の日記　第二,http://www.aozora.gr.jp/cards/001421/files/50424_44632.html,1833,65430,39
365,岡本 綺堂,Kido Okamoto,1927,探偵夜話,http://www.aozora.gr.jp/cards/000082/files/33197_48194.html,1832,108866,39
366,蜷川 新,Arata Ninagawa,1988,天皇,http://www.aozora.gr.jp/cards/001776/files/56239_56991.html,1829,113985,38
367,直木 三十五,Sanjugo Naoki,1989,大衆文芸作法,http://www.aozora.gr.jp/cards/000216/files/1724_13767.html,1826,50347,48
368,泉 鏡花,Kyoka Izumi,1941,星女郎,http://www.aozora.gr.jp/cards/000050/files/4743_27481.html,1824,96960,34
369,太宰 治,Osamu Dazai,1972,新釈諸国噺,http://www.aozora.gr.jp/cards/000035/files/2269_15103.html,1823,100490,52
370,宮本 百合子,Yuriko Miyamoto,1979,日記,http://www.aozora.gr.jp/cards/000311/files/46242_50611.html,1822,54551,33
371,夏目 漱石,Soseki Natsume,1908,三四郎,http://www.aozora.gr.jp/cards/000148/files/794_14946.html,1818,153522,25
372,アレニウス スヴァンテ,Svante Arrhenius,1944,宇宙の始まり,http://www.aozora.gr.jp/cards/000226/files/1150_40143.html,1817,121663,55
373,岡本 綺堂,Kido Okamoto,1971,三浦老人昔話,http://www.aozora.gr.jp/cards/000082/files/1304_18858.html,1817,91580,44
374,森 鴎外,Ogai Mori,1911,雁,http://www.aozora.gr.jp/cards/000129/files/45224_19919.html,1815,82599,39
375,寺田 寅彦,Torahiko Terada,1961,柿の種,http://www.aozora.gr.jp/cards/000042/files/1684_11274.html,1815,72887,44
376,ロラン ロマン,Romain Rolland,1986,ジャン・クリストフ,http://www.aozora.gr.jp/cards/001093/files/42597_29604.html,1811,136120,30
377,富田 倫生,Michio Tomita,1990,青空のリスタート,http://www.aozora.gr.jp/cards/000055/files/698_51256.html,1811,123250,53
378,永井 荷風,Kafu Nagai,1963,つゆのあとさき,http://www.aozora.gr.jp/cards/001341/files/52359_47397.html,1811,91402,40
379,折口 信夫,Shinobu Orikuchi,1939,死者の書,http://www.aozora.gr.jp/cards/000933/files/43802_18503.html,1810,71532,29
380,林 不忘,Fubo Hayashi,1970,巷説享保図絵,http://www.aozora.gr.jp/cards/000290/files/46228_37052.html,1810,221502,33
381,種田 山頭火,Santoka Taneda,1986,行乞記,http://www.aozora.gr.jp/cards/000146/files/45387_30583.html,1809,61458,54
382,三遊亭 円朝,Encho San'yutei,1963,怪談牡丹灯籠,http://www.aozora.gr.jp/cards/000989/files/2577_38206.html,1808,203191,76
383,長与 善郎,Yoshiro Nagayo,1923,青銅の基督,http://www.aozora.gr.jp/cards/001521/files/52216_46233.html,1807,58576,28
384,小出 楢重,Narashige Koide,1930,めでたき風景,http://www.aozora.gr.jp/cards/000259/files/3553_8140.html,1806,96140,45
385,ルナール ジュール,Jules Renard,1950,にんじん,http://www.aozora.gr.jp/cards/001156/files/50658_54033.html,1803,136094,24
386,三浦 環,Tamaki Miura,1947,お蝶夫人,http://www.aozora.gr.jp/cards/000788/files/54343_58389.html,1803,90960,59
387,戸坂 潤,Jun Tosaka,1935,日本イデオロギー論,http://www.aozora.gr.jp/cards/000281/files/3596_39403.html,1802,191621,65
388,宮本 百合子,Yuriko Miyamoto,1979,獄中への手紙,http://www.aozora.gr.jp/cards/000311/files/33186_15706.html,1801,85381,33
389,折口 信夫,Shinobu Orikuchi,1939,死者の書,http://www.aozora.gr.jp/cards/000933/files/24380_34290.html,1796,80945,30
390,佐藤 紅緑,Koroku Sato,1927,ああ玉杯に花うけて,http://www.aozora.gr.jp/cards/000575/files/3585_21718.html,1796,130537,38
391,宮本 百合子,Yuriko Miyamoto,1956,マクシム・ゴーリキイの伝記,http://www.aozora.gr.jp/cards/000311/files/2879_8511.html,1795,44101,40
392,釈 迢空,Choku Shaku,1947,死者の書,http://www.aozora.gr.jp/cards/000933/files/24379_14244.html,1795,82166,30
393,橘 外男,Sotoo Tachibana,1956,墓が呼んでいる,http://www.aozora.gr.jp/cards/001397/files/50071_37680.html,1794,97424,36
394,マルサス トマス・ロバート,Thomas Robert Malthus,1948,人口論,http://www.aozora.gr.jp/cards/001149/files/43551_17225.html,1793,135676,67
395,三遊亭 円朝,Encho San'yutei,1927,敵討札所の霊験,http://www.aozora.gr.jp/cards/000989/files/2614_18139.html,1792,189504,65
396,折口 信夫,Shinobu Orikuchi,1939,死者の書,http://www.aozora.gr.jp/cards/000933/files/4398_14220.html,1792,87722,30
397,久生 十蘭,Juran Hisao,1970,金狼,http://www.aozora.gr.jp/cards/001224/files/46148_32249.html,1791,69961,27
398,種田 山頭火,Santoka Taneda,1986,行乞記,http://www.aozora.gr.jp/cards/000146/files/44913_30581.html,1791,64679,88
399,折口 信夫,Shinobu Orikuchi,1939,死者の書,http://www.aozora.gr.jp/cards/000933/files/4388_48202.html,1789,94861,30
400,水上 滝太郎,Takitaro Minakami,1925,大阪の宿,http://www.aozora.gr.jp/cards/000800/files/51211_53589.html,1788,108408,32
401,ロラン ロマン,Romain Rolland,,ジャン・クリストフ,http://www.aozora.gr.jp/cards/001093/files/42592_29598.html,1788,122960,28
402,下村 湖人,Kojin Shimomura,1965,次郎物語,http://www.aozora.gr.jp/cards/001097/files/42692_21002.html,1787,128685,29
